"Capability ID","Legacy menu/form/report","Legacy source file / class","Legacy database objects","Client-specific branches","Permissions","Print/report dependency","Web route/component","Web API","Web database object","Web tests","Migration status","Remaining gap","Backlog ID","Recommended wave","Acceptance evidence required"
"CAP-DASH-001","Dashboard","Dashboard components","SMART_SYSTEM.DASHBOARD_DETAIL (19); USER_DASHBOARD (0); USER_LAYOUT_COLOR (1)","Per-user visibility and order","Dashboard rights","None","none","none","none","none","missing","No dashboard surface exists","DASH-001","8","Layout/query/drilldown/permission/cache/performance parity"
"CAP-GST-001","GST / E-Invoice / E-Way Bill","ConsumeEwayBillAPI; EWAYJSON; JSON","GST report routines; CO_GSTNO (0 rows)","Per-client GST credentials","GST rights","Statutory export formats","app/page.tsx menu labels only","none","none","none","missing","No integration contract, credential model, submission, retry or audit","ENT-TAX-001; RPT-GST-001","7,8","Submission/cancel/retry/idempotency/audit and golden statutory output"
"CAP-INT-001","Export to Tally / Import from Excel","Import and export code paths","IMPORT_FIELD (265); IMPORT_PROPERTY (6)","Client-specific import maps","Utility rights","Excel/Office COM dependency","app/page.tsx menu labels only","none","none","none","missing","No job model, contract, validation or rollback","INT-TALLY-001; INT-EXCEL-001","9","Round-trip mapping, malformed input, duplicate, rollback and audit"
"CAP-UTIL-001","Backup Data / Lock-Unlock Data","Backup and year utilities","msdb backupset history; latest full backup 2026-07-24","n/a","Destructive-action approvals","None","app/page.tsx menu labels only","none","none","none","missing","No backup/restore surface; source deployment itself has no scheduled backup job","UTIL-BACKUP-001; OPS-DR-001","9,11","Audited restore drills meeting RPO/RTO without data leakage"
"CAP-AUDIT-001","Save logging","ADD_LOG_SAVE / UPDATE_LOG_SAVE metadata flags; LAST_SAVEDATE / LAST_SAVETIME columns","PROGRAM_TOP log flags; per-table save-date/time columns","n/a","n/a","None","none","none","none","platform/audit/audit-event.ts (unmerged branch)","unit-tested","Not merged; append-only store and outbox do not exist; legacy audit is per-row timestamps only","PLAT-AUDIT-001","3","Durable, ordered, redacted security/financial/configuration events"
"CAP-JOB-001","Long-running utilities","Repost/year-open/transfer procedures","SMART_SETUP procedures for import, repost, transfer, restore, year-open","n/a","Utility rights","None","none","none","none","platform/jobs/job-state.ts (unmerged branch)","unit-tested","Not merged; no worker, queue, retry or idempotency runtime","PLAT-JOB-001","3","Retry/crash/duplicate/concurrency tests"
"CAP-META-001","Metadata runtime","Generic shells over smart_setup metadata","PROGRAM_TOP (49); PROGRAM_BODY (1,308); QUERY_TABLE (216); QUERY_CONDITION (34); DATABASE_KEYS (45); CONTROL_EVENT (183); HELP_PROPERTIES (601)","Client query and view variants","n/a","None","none","none","none","platform/metadata/registry.ts; platform/metadata/definition.ts (unmerged branch)","unit-tested","Not merged; no compiler executes against a real database; metadata is still read by nothing","DB-META-001","4","Definitions validate, compile, test, activate and roll back deterministically"
"CAP-CUSTOM-001","Add-on field projection","addon_fld-driven dynamic columns","company ADDON_FLD (118); ADDON_DATA (22,506); ADDON_AENTRY (14,061); ADDON_IENTRY (28,895)","Per company/year field sets","n/a","Report/print projections","none","none","none","platform/custom-fields/definition.ts (unmerged branch)","unit-tested","Not merged; no typed projection against real add-on definitions","DB-CUSTOM-001","4","Add/change/disable/filter/report behaviour across representative clients"
"CAP-DBINT-001","Database integrity","n/a","SQL Server source: 72 PKs, 164 unique indexes, 25 nonclustered, 82 identity columns in a representative company DB; 0 FKs; 0 checks","n/a","n/a","None","none","none","none","none","discovered","PostgreSQL archive lost all PKs, indexes and identity columns and is missing 3 tables; extraction from source not yet performed","DB-INTEGRITY-001; DB-MAP-001","4","Target constraints proven clean against reconciled source keys"
"CAP-PROC-001","Stored routines","n/a","346 live routines in SMART_SETUP (335 procs, 10 scalar fns, 1 TVF)","Client-specific report procedures (sp_frt_rpt_*)","n/a","Report and print output","none","none","none","none","partial","328 converted, 255 pass static checks, 73 need review, 283 present in the archive; 18 live routines never converted and 45 converted routines never archived","DISC-PROC-001; DB-PROC-001","4","Every routine rewritten and contract-tested, retired with evidence, or named blocked"
