name,source_name_matched,start_line,lines,status,blockers,todo,dynamic_execute,explicit_commit,explicit_rollback,password_references,residual_tsql
sp_frt_rpt_new_update,true,4357,38,repair-required,dynamic-sql-review,0,3,0,0,0,0
sp_frt_rpt_nainesh_party_status,true,4404,71,repair-required,dynamic-sql-review,0,3,0,0,0,0
sp_frt_rpt_multy_year_top_reports,true,4484,306,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,4,17,0,0,0,4
sp_frt_rpt_multi_year_stock_summary_rep,true,4799,4180,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,163,0,0,0,3
sp_frt_rpt_multi_year_stock_ledger_rep,true,8988,446,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,35,0,0,0,13
sp_frt_rpt_multi_year_sales_receipt_rep,true,9443,161,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,7,26,0,0,0,7
sp_frt_rpt_multi_year_sales_exp_rep,true,9613,176,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,6,27,0,0,0,6
sp_frt_rpt_multi_year_party_stock_rep,true,9798,423,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,23,0,0,0,3
sp_frt_rpt_multi_year_party_prodaddon_sale,true,10230,2564,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,113,0,0,0,3
sp_frt_rpt_multi_year_expense_summary_rep,true,12803,1647,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,100,0,0,0,3
sp_frt_rpt_multi_year_account_summary_rep,true,14459,2490,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,312,0,0,0,12
sp_frt_rpt_multi_year_account_ledger_rep,true,16958,413,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,23,0,0,0,3
sp_frt_rpt_multi_salesman_scheme,true,17380,130,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,18,0,0,0,1
sp_frt_rpt_multi_company_ledger_rep,true,17519,152,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,18,0,0,0,2
sp_frt_rpt_multi_company_day_book_rep,true,17680,183,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,4,16,0,0,0,4
sp_frt_rpt_multi_company_account_summary_rep,true,17872,277,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,26,0,0,0,5
sp_frt_rpt_multi_comp_prod_analysis_rep,true,18158,523,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,13,0,0,0,1
sp_frt_rpt_factory_mis,true,18690,609,repair-required,unresolved-todo;dynamic-sql-review,1,51,0,0,0,0
sp_frt_rpt_exp_partywise_rate_rep,true,19308,40,repair-required,dynamic-sql-review,0,3,0,0,0,0
sp_frt_rpt_entry_ptod_trf,true,19357,97,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,13,0,0,0,1
sp_frt_rpt_drop_analysis,true,19463,411,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,9,0,0,0,1
sp_frt_rpt_dpg_yearlysales_summary_rep,true,19883,117,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,9,0,0,0,16
sp_frt_rpt_dpg_sales_veneer_rep,true,20009,131,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,15,0,0,0,17
sp_frt_rpt_dpg_sales_summary_rep,true,20149,133,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,12,0,0,0,17
sp_frt_rpt_dpg_sales_party_brand_rep,true,20291,134,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,16,0,0,0,17
sp_frt_rpt_dpg_sales_brand_rep,true,20434,130,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,15,0,0,0,17
sp_frt_rpt_dpg_incentive_rep,true,20573,294,repair-required,residual-tsql;dynamic-sql-review,0,34,0,0,0,14
sp_frt_rpt_dpg_godown_profit,true,20876,528,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,5,86,0,0,0,6
sp_frt_rpt_dpg_god_movement_rep,true,21413,187,repair-required,residual-tsql;dynamic-sql-review,0,22,0,0,0,5
sp_frt_rpt_dpg_god_brand_cat_rep,true,21609,149,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,16,0,0,0,17
sp_frt_rpt_dpg_factory_sales_brand_rep,true,21767,154,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,28,0,0,0,12
sp_frt_rpt_dpg_brand_cat_rep,true,21930,146,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,15,0,0,0,17
sp_frt_rpt_dpg_area_summary_rep,true,22085,133,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,12,0,0,0,14
sp_frt_rpt_document_upload,true,22227,96,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,5,0,0,0,1
sp_frt_rpt_daily_transaction,true,22332,239,repair-required,residual-tsql;dynamic-sql-review,0,33,0,0,0,3
sp_frt_rpt_comet_sample_tray,true,22580,164,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,13,0,0,0,1
sp_frt_rpt_comet_sample_replace,true,22753,93,repair-required,residual-tsql;dynamic-sql-review,0,7,0,0,0,4
sp_frt_rpt_comet_pending_order,true,22855,91,repair-required,dynamic-sql-review,0,7,0,0,0,0
sp_frt_rpt_comet_non_composite,true,22955,102,repair-required,residual-tsql;dynamic-sql-review,0,10,0,0,0,6
sp_frt_rpt_comet_exchange_reco,true,23066,61,repair-required,dynamic-sql-review,0,7,0,0,0,0
sp_frt_rpt_collection_planing,true,23136,150,repair-required,unresolved-todo;dynamic-sql-review,1,11,0,0,0,0
sp_frt_rpt_clear_log,true,23295,51,repair-required,dynamic-sql-review,0,8,0,0,0,0
sp_frt_rpt_claim,true,23355,89,repair-required,residual-tsql;dynamic-sql-review,0,9,0,0,0,21
sp_frt_rpt_checklist_invoice,true,23453,226,repair-required,residual-tsql;dynamic-sql-review,0,10,0,0,0,9
sp_frt_rpt_checklist_inventory,true,23688,297,repair-required,residual-tsql;dynamic-sql-review,0,10,0,0,0,15
sp_frt_rpt_checklist_daybook,true,23994,154,repair-required,residual-tsql;dynamic-sql-review,0,8,0,0,0,2
sp_frt_rpt_challan_reg,true,24157,216,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,6,0,0,0,7
sp_frt_rpt_challan_pending_reg,true,24382,206,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,8,0,0,0,7
sp_frt_rpt_budget,true,24597,73,repair-required,residual-tsql;dynamic-sql-review,0,7,0,0,0,1
sp_frt_rpt_brand_godown_stock,true,24679,828,repair-required,residual-tsql;dynamic-sql-review,0,40,0,0,0,3
sp_frt_rpt_bookwise,true,25516,67,repair-required,dynamic-sql-review,0,9,0,0,0,0
sp_frt_rpt_barcode,true,25592,185,repair-required,residual-tsql;dynamic-sql-review,0,6,0,0,0,5
sp_frt_rpt_auto_ewaybill,true,25786,53,repair-required,dynamic-sql-review,0,4,0,0,0,0
sp_frt_rpt_arham_job_stock,true,25848,365,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,35,0,0,0,1
sp_frt_rpt_hitanshi_sample_wise_sale,true,26222,229,repair-required,dynamic-sql-review,0,9,0,0,0,0
sp_frt_rpt_hitanshi_salesman_wise_sample,true,26460,115,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,17,0,0,0,1
sp_frt_rpt_hitanshi_sale_with_stock,true,26584,247,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,23,0,0,0,9
sp_frt_rpt_hitanshi_sale_reg,true,26840,33,repair-required,dynamic-sql-review,0,3,0,0,0,0
sp_frt_rpt_hitanshi_purchase_order,true,26882,52,repair-required,residual-tsql;dynamic-sql-review,0,2,0,0,0,3
sp_frt_rpt_hitanshi_group_stock_summary,true,26943,30,repair-required,dynamic-sql-review,0,2,0,0,0,0
sp_frt_rpt_hitanshi_areawise_sale,true,26982,105,repair-required,dynamic-sql-review,0,2,0,0,0,0
sp_frt_rpt_gstr_tax_mismatch,true,27096,262,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,11,0,0,0,3
sp_drop_table,true,27367,27,repair-required,residual-tsql;dynamic-sql-review,0,1,0,0,0,2
report_register_std,true,27398,71,repair-required,residual-tsql;dynamic-sql-review,0,2,0,0,0,3
saveidoptmaster,true,27473,38,static-candidate,,0,0,0,0,0,0
sp_drop_print_table,true,27520,44,repair-required,dynamic-sql-review,0,8,0,0,0,0
fetchmenu,false,27568,13,repair-required,no-source-name-match,0,0,0,0,0,0
updatelocation,true,27585,12,static-candidate,,0,0,0,0,0,0
sp_fomsumm_cols,true,27607,117,static-candidate,,0,0,0,0,0,0
sp_frt_rpt_ac_room,true,27733,90,repair-required,dynamic-sql-review,0,8,0,0,0,0
sp_frt_rpt_ap_dailysale,true,27832,107,repair-required,dynamic-sql-review,0,4,0,0,0,0
sp_frt_rpt_addon_stock_summary,true,27948,120,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,11,0,0,0,7
sp_frt_rpt_rpi_job_work_master,true,28077,213,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,4,23,0,0,0,4
sp_frt_rpt_rpi_job_setoff_expense,true,28299,122,repair-required,dynamic-sql-review,0,17,0,0,0,0
sp_frt_rpt_rpi_inventory_register,true,28430,182,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,4,0,0,0,1
sp_frt_rpt_rpi_inv_trfto_account_checking,true,28621,303,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review;transaction-review,1,13,1,0,0,1
sp_frt_rpt_rpi_inv_trfto_account,true,28933,408,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review;transaction-review,6,33,1,0,0,7
sp_frt_rpt_rpi_inv_moulding_planning,true,29350,232,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,29,0,0,0,2
sp_frt_rpt_rpi_hv_purchase,true,29591,89,repair-required,dynamic-sql-review,0,6,0,0,0,0
sp_frt_rpt_rpi_finish_stock,true,29689,417,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review;transaction-review,1,47,3,0,0,6
sp_frt_rpt_rpi_finish_prod_costing,true,30115,360,repair-required,residual-tsql;dynamic-sql-review,0,66,0,0,0,28
sp_frt_rpt_rpi_distributors_dispatch_check,true,30484,174,repair-required,dynamic-sql-review,0,12,0,0,0,0
sp_frt_rpt_rpi_dealer_sales_order,true,30667,298,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,13,0,0,0,8
sp_frt_rpt_rpi_dealer_competitor_image,true,30974,122,repair-required,residual-tsql;dynamic-sql-review,0,5,0,0,0,2
sp_frt_rpt_rpi_daily_incoming,true,31105,96,repair-required,residual-tsql;dynamic-sql-review,0,7,0,0,0,10
sp_frt_rpt_rpi_collection_summary,true,31210,465,repair-required,unresolved-todo;dynamic-sql-review,1,52,0,0,0,0
sp_frt_rpt_rpi_auto_order_trf,true,31684,115,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,8,16,0,0,0,9
sp_frt_rpt_rp_patiya,true,31808,69,repair-required,dynamic-sql-review,0,6,0,0,0,0
sp_frt_rpt_rp_order_compare,true,31886,165,repair-required,residual-tsql;dynamic-sql-review,0,15,0,0,0,5
sp_frt_rpt_rp_indent_compare,true,32060,172,repair-required,residual-tsql;dynamic-sql-review,0,11,0,0,0,7
sp_frt_rpt_reminder,true,32241,43,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,5,0,0,0,1
sp_frt_rpt_order_suggetion,true,32293,905,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,4,43,0,0,0,15
sp_frt_rpt_query,true,33207,97,repair-required,residual-tsql;dynamic-sql-review,0,4,0,0,0,2
sp_frt_rpt_prithvi_sales_target_perc,true,33313,348,repair-required,unresolved-todo;dynamic-sql-review,1,24,0,0,0,0
sp_frt_rpt_prithvi_rep,true,33670,314,repair-required,residual-tsql;dynamic-sql-review,0,24,0,0,0,2
sp_frt_rpt_prithvi_folder_wise_sale,true,33993,265,repair-required,residual-tsql;dynamic-sql-review,0,29,0,0,0,1
sp_frt_rpt_prithvi_folder_making,true,34267,200,repair-required,residual-tsql;dynamic-sql-review,0,13,0,0,0,2
sp_frt_rpt_rpi_product_wies_secondary_sales,true,34476,221,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,22,0,0,0,5
sp_frt_rpt_rpi_product_launching,true,34706,357,repair-required,residual-tsql;dynamic-sql-review,0,7,0,0,0,39
sp_frt_rpt_rpi_product_color_plan_allocation,true,35072,43,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,4,0,0,0,1
sp_frt_rpt_rpi_product_color_allocation,true,35124,57,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,4,0,0,0,1
sp_frt_rpt_rpi_planing_fg_analysis,true,35190,92,repair-required,residual-tsql;dynamic-sql-review,0,9,0,0,0,11
sp_frt_rpt_rpi_payment_transfer,true,35291,70,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,12,0,0,0,1
sp_frt_rpt_rpi_parent_tree,true,35370,172,repair-required,residual-tsql;dynamic-sql-review,0,11,0,0,0,4
sp_frt_rpt_rpi_packing_planing,true,35551,53,repair-required,residual-tsql;dynamic-sql-review,0,7,0,0,0,1
sp_frt_rpt_rpi_order_clearance,true,35613,117,repair-required,dynamic-sql-review,0,20,0,0,0,0
sp_frt_rpt_rpi_moulding_production_plan,true,35739,221,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,23,0,0,0,6
sp_frt_rpt_rpi_mfg_formula_search,true,35969,62,repair-required,residual-tsql;dynamic-sql-review,0,5,0,0,0,1
sp_frt_rpt_rpi_machine_utilization,true,36040,83,repair-required,dynamic-sql-review,0,4,0,0,0,0
sp_frt_rpt_rpi_steel_plant_challan,true,36132,50,repair-required,dynamic-sql-review,0,4,0,0,0,0
sp_frt_rpt_rpi_ss_circle_purchase_sale,true,36191,92,repair-required,dynamic-sql-review,0,10,0,0,0,0
sp_frt_rpt_rpi_secondary_sales_summary,true,36292,175,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,4,22,0,0,0,11
sp_frt_rpt_rpi_salesman_visit_planning,true,36476,33,repair-required,dynamic-sql-review,0,4,0,0,0,0
sp_frt_rpt_rpi_rejection_analysis,true,36518,520,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,68,0,0,0,1
sp_frt_rpt_rpi_production_planing_detail,true,37047,278,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,64,0,0,0,4
sp_frt_rpt_rpi_production_summary,true,37334,486,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,5,43,0,0,0,37
sp_frt_rpt_rpi_trp_register,true,37829,62,repair-required,dynamic-sql-review,0,4,0,0,0,0
sp_frt_rpt_rpi_total_expense,true,37900,106,repair-required,residual-tsql;dynamic-sql-review,0,9,0,0,0,5
sp_frt_rpt_rpi_stock_status,true,38015,71,repair-required,residual-tsql;dynamic-sql-review,0,9,0,0,0,1
sp_frt_rpt_rpi_stock_flow,true,38095,266,repair-required,residual-tsql;dynamic-sql-review;transaction-review,0,42,1,0,0,3
sp_frt_rpt_rpi_stock_balance,true,38370,369,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,5,43,0,0,0,14
sp_frt_rpt_shah_invoice_check,true,38748,189,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,9,0,0,0,7
sp_frt_rpt_shah_hosm_comm,true,38946,200,repair-required,dynamic-sql-review,0,18,0,0,0,0
sp_frt_rpt_shah_folder_with_sale,true,39155,282,repair-required,residual-tsql;dynamic-sql-review,0,7,0,0,0,2
sp_frt_rpt_shah_folder_allot,true,39446,197,repair-required,residual-tsql;dynamic-sql-review,0,10,0,0,0,2
sp_frt_rpt_shah_finish_stock,true,39652,180,repair-required,residual-tsql;dynamic-sql-review,0,15,0,0,0,1
sp_frt_rpt_shah_finish_sale,true,39841,191,repair-required,residual-tsql;dynamic-sql-review,0,14,0,0,0,1
sp_frt_rpt_shah_factory_purchase,true,40041,59,repair-required,residual-tsql;dynamic-sql-review,0,7,0,0,0,1
sp_frt_rpt_shah_dead_stock,true,40109,231,repair-required,residual-tsql;dynamic-sql-review,0,14,0,0,0,3
sp_frt_rpt_shah_comm_sales_tracking,true,40349,501,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,32,0,0,0,5
sp_frt_rpt_shah_combine_ledger,true,40859,818,repair-required,residual-tsql;dynamic-sql-review,0,50,0,0,0,12
sp_frt_rpt_shah_brand_scheme,true,41686,66,repair-required,dynamic-sql-review,0,5,0,0,0,0
sp_frt_rpt_shah_brand_gross,true,41761,267,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,12,45,0,0,0,12
sp_frt_rpt_top_reports,true,42037,445,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,22,0,0,0,5
sp_frt_rpt_tj_stockgp,true,42491,210,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,19,0,0,0,12
sp_frt_rpt_tj_salesman_summary_rep,true,42710,260,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,9,0,0,0,21
sp_frt_rpt_vat_setoff,true,42979,386,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,10,38,0,0,0,23
sp_frt_rpt_upload_data_cloud,true,43374,76,repair-required,dynamic-sql-review,0,5,0,0,0,0
sp_frt_rpt_trimurti_damage_claim,true,43459,147,repair-required,residual-tsql;dynamic-sql-review,0,7,0,0,0,2
sp_frt_rpt_target,true,43615,246,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,28,0,0,0,5
sp_frt_rpt_tally_import,true,43870,1589,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,4,18,0,0,0,65
sp_frt_rpt_swastik_sales_rep,true,45468,58,repair-required,dynamic-sql-review,0,5,0,0,0,0
sp_frt_rpt_stock_movement,true,45535,1167,repair-required,residual-tsql;dynamic-sql-review,0,10,0,0,0,10
sp_frt_rpt_stock_clearance,true,46711,596,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,44,0,0,0,4
sp_frt_rpt_tds_report,true,47316,70,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,15,0,0,0,6
sp_frt_rpt_similliar_product_stock,true,47395,137,repair-required,dynamic-sql-review,0,9,0,0,0,0
sp_frt_rpt_shah_trans_despatch,true,47541,145,repair-required,residual-tsql;dynamic-sql-review,0,4,0,0,0,5
sp_frt_rpt_shah_smho_selection,true,47695,52,repair-required,dynamic-sql-review,0,4,0,0,0,0
sp_frt_rpt_shah_selection_with_sale,true,47756,272,repair-required,residual-tsql;dynamic-sql-review,0,9,0,0,0,6
sp_frt_rpt_salesman_sale,true,48037,121,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,12,0,0,0,3
sp_frt_rpt_sales_expense_rep,true,48167,175,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,13,0,0,0,2
sp_frt_rpt_shah_rate_diff,true,48351,267,repair-required,residual-tsql;dynamic-sql-review,0,22,0,0,0,5
sp_frt_rpt_shah_qty_rate,true,48627,172,repair-required,dynamic-sql-review,0,7,0,0,0,0
sp_frt_rpt_shah_qty_discount,true,48808,267,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,4,42,0,0,0,4
sp_frt_rpt_shah_purchase_rate,true,49084,87,repair-required,dynamic-sql-review,0,7,0,0,0,0
sp_frt_rpt_shah_pricelist,true,49180,215,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,16,0,0,0,1
sp_frt_rpt_shah_points_summary,true,49404,144,repair-required,unresolved-todo;dynamic-sql-review,1,6,0,0,0,0
sp_frt_rpt_shah_pending_order,true,49557,232,repair-required,dynamic-sql-review,0,8,0,0,0,0
sp_frt_rpt_shah_party_sale,true,49798,398,repair-required,residual-tsql;dynamic-sql-review,0,15,0,0,0,2
sp_frt_rpt_shah_party_header,true,50205,1696,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,219,0,0,0,3
sp_frt_rpt_shah_party_dis,true,51910,124,repair-required,residual-tsql;dynamic-sql-review,0,11,0,0,0,12
sp_frt_rpt_voucher_renumber,true,52043,181,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,13,0,0,0,2
sp_frt_rpt_vinayak_inch_closing_stock,true,52233,429,repair-required,dynamic-sql-review,0,24,0,0,0,0
sp_frt_rpt_vinayak_comm,true,52671,59,repair-required,dynamic-sql-review,0,6,0,0,0,0
sp_mobile_flutter_year_select,true,52739,68,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,6,0,0,0,5
sp_mobile_company_select,true,52816,37,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,4,0,0,0,1
sp_mob_os_rep,true,52862,109,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,13,0,0,0,1
sp_master_insert,true,52978,100,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,3,0,0,0,17
sp_ledger_spcl_summary_report,true,53087,66,static-candidate,,0,0,0,0,0,0
sp_joinresultswithchar,true,53162,78,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,1,0,0,0,1
sp_read_master_fill_edit_grid,true,53249,126,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,8,0,0,0,27
sp_months_formating,true,53379,56,repair-required,dynamic-sql-review,0,1,0,0,0,0
sp_mobile_zoom_report,true,53444,65,repair-required,dynamic-sql-review,0,5,0,0,0,0
sp_mobile_year_select,true,53518,68,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,6,0,0,0,5
sp_mobile_user_data,true,53595,24,repair-required,dynamic-sql-review;credential-security-review,0,3,0,0,2,0
sp_mobile_search_master,true,53628,38,repair-required,dynamic-sql-review,0,3,0,0,0,0
sp_mobile_report_footer,true,53675,103,repair-required,dynamic-sql-review,0,4,0,0,0,0
sp_mobile_login,true,53787,25,repair-required,dynamic-sql-review;credential-security-review,0,3,0,0,4,0
sp_mobile_help_query,true,53821,615,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,51,0,0,0,30
sp_std_rpt_add_master,true,54445,27,repair-required,dynamic-sql-review,0,2,0,0,0,0
sp_std_rpt_acc_master,true,54481,88,repair-required,residual-tsql;dynamic-sql-review,0,2,0,0,0,1
sp_save_order_entry,true,54578,291,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review;transaction-review,8,31,1,1,0,19
sp_save_mobile_user_password,true,54873,26,repair-required,dynamic-sql-review;credential-security-review,0,4,0,0,1,0
sp_save_mobile_insert_query,true,54903,53,repair-required,dynamic-sql-review,0,2,0,0,0,0
sp_save_mobile_image_upload,true,54965,58,repair-required,residual-tsql;dynamic-sql-review;transaction-review,0,3,1,1,0,6
sp_setup_changes,true,55030,41,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review;transaction-review,2,2,1,0,0,6
sp_report_xmlwrite,true,55078,228,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review;transaction-review,8,5,1,1,0,28
sp_save_mobile_dealer_order,true,55310,117,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review;transaction-review,7,7,1,1,0,6
sp_restore_setup,true,55431,58,repair-required,unresolved-todo;dynamic-sql-review,1,3,0,0,0,0
sp_restore_data,true,55493,73,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,3,0,0,0,1
sp_repost_data,true,55570,4742,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,33,483,0,0,0,271
sp_frt_rpt_stock_summary_allbook,true,60321,1681,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,117,0,0,0,26
sp_security_get,true,62006,35,repair-required,credential-security-review,0,0,0,0,3,0
sp_security_delete,true,62045,16,static-candidate,,0,0,0,0,0,0
sp_security,true,62065,44,repair-required,credential-security-review,0,0,0,0,5,0
sp_save_mobile_entry,true,62118,1257,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review;transaction-review,27,105,1,1,0,59
sp_std_rpt_form_summ,true,63385,265,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,3,9,0,0,0,44
sp_getuser,true,63654,41,static-candidate,,0,0,0,0,0,0
sp_getcolsexcept,true,63704,40,repair-required,dynamic-sql-review,0,2,0,0,0,0
sp_get_cname,true,63748,17,static-candidate,,0,0,0,0,0,0
sp_frt_rpt_shah_other_comm,true,63774,129,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,13,0,0,0,2
sp_frt_rpt_sales_analysis,true,63912,891,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,6,35,0,0,0,13
sp_frt_rpt_shah_monthly_os,true,64812,1372,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,7,41,0,0,0,3
sp_frt_rpt_taxsumm,true,66193,338,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,5,24,0,0,0,14
sp_frt_rpt_stock_ageing,true,66540,836,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,4,32,0,0,0,12
sp_frt_rpt_trialbal,true,67385,339,repair-required,residual-tsql;dynamic-sql-review,0,3,0,0,0,2
