"ID","Phase","Epic","Work item","Primary dependency","Acceptance gate","Status","Owner","GitHub issue"
"DISC-SYS-001","1","Discovery","Obtain and inventory smart_system","SRC-DB-004","Users, rights, companies, years, routing, dashboards, print staging mapped","blocked","TBD",""
"DISC-PG-001","1","Discovery","Obtain and diff the PostgreSQL migration branch","SRC-DB-006","Schema/code/routine conversion delta is registered","blocked","TBD",""
"DISC-PROC-001","1","Discovery","Intake all stored procedures/functions and reconcile initial 283 signatures","Incoming procedures","Every signature classified with source/target/dependencies/owner","discovered","TBD",""
"DISC-PROC-INTAKE-001","1","Discovery","Analyze the received SQL Server and converted PostgreSQL procedure bundles","SRC-PROC-001","Artifact hashes and sizes are fixed; source/target names reconcile; every target routine has a reproducible static-candidate or repair-required row with explicit blocker categories; no deployability claim","unit-tested","TBD",""
"DISC-MENU-001","1","Discovery","Export authoritative MenuMaster and dynamic action metadata","Restored smart_setup; smart_system and running legacy for rights/effective-action verification","All menu leaves/actions/shortcuts reconcile to source counts","discovered","TBD",""
"DISC-MENU-PROFILE-001","1","Discovery","Profile MenuMaster hierarchy/action metadata without exporting sensitive marker values","DISC-PG-RESTORE-001","Aggregate menu, hierarchy, action, program-link, shortcut, and marker facts are reproducible; hierarchy exceptions are explicit; no rights/action value is treated as target authorization","unit-tested","TBD",""
"DISC-META-001","1","Discovery","Export master, entry, report, dashboard, help, key, book, setup, and update metadata","Restored smart_setup; smart_system for rights/dashboard/print links","Metadata object registry and dependency graph complete","discovered","TBD",""
"DISC-PROGRAM-PROFILE-001","1","Discovery","Profile generic program/view metadata without exporting executable definitions","DISC-PG-RESTORE-001","Aggregate program/query/field/validation/lookup/duplicate facts are reproducible; orphan/fieldless metadata is explicit; no source fragment is considered target runtime","unit-tested","TBD",""
"DISC-QUERY-PROFILE-001","1","Discovery","Profile stored-query risk metadata without exporting query text","DISC-PG-RESTORE-001","Aggregate query/token/wildcard/dialect/program-link facts are reproducible; all query text is quarantined; source linkage and typed compilation gaps are explicit","unit-tested","TBD",""
"DISC-META-CATALOG-001","1","Discovery","Export a reproducible aggregate-only PostgreSQL metadata catalogue and Account Master structural contract","DISC-PG-RESTORE-001","Catalogue is deterministic, contains no restricted rows/raw SQL/secrets, records setup metadata counts and Account Master structural checksums, and has automated negative tests","unit-tested","TBD",""
"DISC-ACCOUNT-CONTRACT-001","1","Discovery","Export the ordered Account Master field-mapping baseline without executable source definitions","DISC-META-CATALOG-001","All 87 source field records are represented by safe IDs/order/table/column-or-quarantine/type/length/mode flags; direct and expression mappings are distinguished; no values, captions, formulas, SQL, or writes are exported","unit-tested","TBD",""
"DISC-CUST-001","1","Discovery","Inventory license/company/database/client query and report overrides","Client artifacts and owners","All 91 known license IDs and discovered branches resolve to active/retired behavior","discovered","TBD",""
"DISC-PRINT-001","1","Discovery","Inventory document mappings, Crystal templates, and canonical outputs","DOCUMENT_PRINT and sample documents","All 322 report files/templates classified and active documents have golden samples","blocked","TBD",""
"DISC-LEGACY-001","1","Discovery","Establish a reproducible running legacy parity environment","Legacy dependencies and representative data","Supported flows can be captured and rerun with fixed versions","blocked","TBD",""
"DISC-DATA-001","1","Discovery","Approve representative golden tenant/company/year datasets","Data governance and client approval","Synthetic/sanitized/parity fixtures cover every major flow without Git data leakage","blocked","TBD",""
"ARCH-001","2","Architecture","Approve hybrid cell-based tenancy and accounting-year model","DISC-DB-001","ADR accepted; tenant isolation and placement invariants signed","designed","TBD",""
"ARCH-002","2","Architecture","Approve versioned metadata/query compiler and override precedence","DISC-META-001","Manifest, compiler, approval, rollback, and output contract design accepted","designed","TBD",""
"ARCH-003","2","Architecture","Approve PostgreSQL roles, pooling, RLS, secrets, and connection model","ARCH-001","Threat-model review and context-cleanup design accepted","designed","TBD",""
"ARCH-004","2","Architecture","Define modular domains, aggregate ownership, and posting invariants","Business/accounting owners","Domain map and forbidden direct-write boundaries approved","discovered","TBD",""
"ARCH-005","2","Architecture","Define identity, session, RBAC, entitlement, and legacy password migration","DISC-SYS-001","Identity flow, permission model, reset/lockout/revocation accepted","discovered","TBD",""
"ARCH-006","2","Architecture","Define report, dashboard, print job, template, storage, and retention model","DISC-PRINT-001","Typed job/output and retention architecture accepted","designed","TBD",""
"ARCH-007","2","Architecture","Define money, currency, rounding, date/time, collation, and ID standards","DISC-DB-001","Accounting/data owners sign canonical semantics","discovered","TBD",""
"ARCH-008","2","Architecture","Set SLO, RPO, RTO, supported platform, residency, and capacity targets","Product/operations decisions","Measurable release budgets approved","discovered","TBD",""
"PLAT-AUTH-001","3","Platform","Implement production identity and session lifecycle","ARCH-005","Login/reset/lockout/revocation/audit and security tests pass","discovered","TBD",""
"PLAT-CTX-001","3","Platform","Implement tenant/company/accounting-year control catalog and resolver","ARCH-001","Only authorized selections produce immutable request context","discovered","TBD",""
"CTX-CONTRACT-001","3","Platform","Implement source-independent immutable tenant/company/year context resolver","ARCH-001","Synthetic membership/catalog tests deny cross-identity, cross-tenant, closed, and malformed selections; scoped keys and PostgreSQL setting values include all three dimensions","unit-tested","TBD",""
"PLAT-RBAC-001","3","Platform","Implement scoped roles/permissions/entitlements and deny-by-default guards","ARCH-005","UI, API, job, and repository negative tests pass","discovered","TBD",""
"PLAT-DB-001","3","Platform","Implement PostgreSQL pool, TLS, least-privilege roles, timeouts, and context cleanup","ARCH-003","Pool reuse never leaks context; failover/saturation tests pass","discovered","TBD",""
"PLAT-RLS-001","3","Platform","Implement forced tenant RLS and composite tenant-aware keys","ARCH-001","Cross-tenant read/write/reference tests fail closed","discovered","TBD",""
"PLAT-AUDIT-001","3","Platform","Implement append-only audit and transactional outbox","ARCH-004","Security/financial/configuration events are durable, ordered, and redacted","discovered","TBD",""
"AUDIT-CONTRACT-001","3","Platform","Implement source-independent immutable and redacted audit-event contract","ARCH-004","Audit events require tenant/company/year scope, actor, resource, correlation, outcome, and redact sensitive payload fields before persistence/logging","unit-tested","TBD",""
"PLAT-JOB-001","3","Platform","Implement durable background job worker and idempotency","PLAT-AUDIT-001","Retry/crash/duplicate/concurrency tests pass","discovered","TBD",""
"JOB-CONTRACT-001","3","Platform","Implement source-independent durable job state and audit contracts","ARCH-006","Queued/claimed/succeeded/failed/cancelled state rules, worker ownership, bounded retries, scope-bound idempotency, and audit events have passing tests","unit-tested","TBD",""
"PLAT-OBS-001","3","Platform","Implement tenant-safe logs, metrics, traces, and correlation","ARCH-008","SLO dashboards and redaction tests pass","discovered","TBD",""
"PLAT-FIXTURE-001","3","Quality platform","Create synthetic fixture factory and disposable PostgreSQL CI","ARCH-007","Clean deterministic database is available to all test layers","discovered","TBD",""
"META-DEF-001","3","Metadata runtime","Implement source-independent metadata manifest validation and deterministic override resolution","ARCH-002","Manifest rejects raw SQL/unsafe scope, validates action/audit contracts, and resolves active global/module/tenant/company/year overrides deterministically","unit-tested","TBD",""
"META-REG-001","3","Metadata runtime","Implement controlled metadata definition lifecycle and activation conflict rules","META-DEF-001","Definitions move only through draft/validated/approved/active/retired; duplicate identities, skipped approval, and overlapping active versions at one scope are rejected with transition evidence","unit-tested","TBD",""
"CUSTOM-CONTRACT-001","3","Metadata runtime","Implement source-independent typed custom-field contract and scoped resolver","ARCH-002","A field attaches to exactly one canonical entity; type-specific constraints, tenant/company/year override precedence, permission, and audit contracts are validated; raw legacy behavior and polymorphic associations are rejected","unit-tested","TBD",""
"DB-INTAKE-001","4","Database","Build secure archive registry and isolated restore workflow","DISC-DB-001","Hash/version/catalog extraction is reproducible without production risk","discovered","TBD",""
"DB-MAP-001","4","Database","Complete source-to-target type, date, money, collation, and key mapping","ARCH-007","Every source column has reviewed target semantics","discovered","TBD",""
"DB-ACCOUNT-TYPE-MAP-001","4","Database","Profile Account Master legacy field codes against physical PostgreSQL type evidence","DISC-ACCOUNT-CONTRACT-001","All 87 Account Master metadata fields reconcile to direct physical or unresolved mapping counts; money/timestamp/numeric risk is explicit; no target type is claimed without review","unit-tested","TBD",""
"DB-CONTROL-001","4","Database","Design and migrate control-plane schema","ARCH-001","Tenant/company/year/identity/routing constraints and migrations pass","discovered","TBD",""
"DB-CANON-001","4","Database","Design canonical accounting/inventory data schema","ARCH-004","ERD, constraints, ownership, and representative load pass","discovered","TBD",""
"DB-INTEGRITY-001","4","Database","Profile duplicates/orphans and recover enforceable constraints","DB-MAP-001","Invalid rows are repaired/quarantined and target constraints prove clean","discovered","TBD",""
"DB-ACCOUNT-INTEGRITY-001","4","Database","Profile Account Master candidate keys, relationships, and type-risk boundary","DISC-ACCOUNT-CONTRACT-001","Aggregate profile is reproducible and Git-safe; candidate keys/relationships distinguish review from repair/exception cases; no target constraint is asserted without a decision","unit-tested","TBD",""
"DB-COMPAT-001","4","Database","Build server-controlled legacy schema/database compatibility adapter","PLAT-CTX-001","No request-controlled identifier; contract/isolation/timeout tests pass","discovered","TBD",""
"DB-META-001","4","Metadata runtime","Build versioned definition registry and compiler","ARCH-002","Definitions validate, compile, test, activate, and roll back deterministically","discovered","TBD",""
"DB-CUSTOM-001","4","Metadata runtime","Build typed custom-field model and legacy addon projection","CUSTOM-CONTRACT-001; DB-META-001","Add/change/disable/filter/report behavior passes across representative clients","discovered","TBD",""
"DB-CUSTOM-INVENTORY-001","4","Metadata runtime","Profile legacy add-on definitions and polymorphic add-on storage","DISC-PG-RESTORE-001","Aggregate-only inventory records definition markers/types and account/product/unscoped storage facts; exceptions are classified without raw metadata/data entering Git","unit-tested","TBD",""
"DB-PROC-001","4","Database","Classify and resolve all known routine signatures","DISC-PROC-001","Every routine rewritten/tested, retired with evidence, or named blocked","discovered","TBD",""
"DB-MOVER-001","4","Database","Build resumable migration runner, checkpoint ledger, and quarantine","DB-MAP-001","Clean rerun, failure resume, checksums, and repair audit pass","discovered","TBD",""
"DB-PARITY-001","4","Database","Build row, relationship, money, stock, report, and hash reconciliation","DISC-DATA-001","Per-tenant/year reconciliation report is deterministic and signed","discovered","TBD",""
"DB-WORKLOAD-001","4","Performance","Capture legacy workloads and review indexes/partitioning","DISC-LEGACY-001","Interactive and peak report plans meet budgets on representative volumes","discovered","TBD",""
"MST-ADDON-001","5","Vertical slice","Make Addon Master authenticated, tenant-scoped, persistent, and audited","PLAT-RBAC-001; DB-CUSTOM-001","Full master definition of done and legacy/modern flow tests pass","discovered","TBD",""
"MST-ACCOUNT-001","5","Vertical slice","Migrate Account Master including standard and client-added view fields","DISC-ACCOUNT-CONTRACT-001; DB-META-001; DB-CUSTOM-001","Field/order/query/write/permission/parity contract passes for representative clients","discovered","TBD",""
"ENT-REP-001","5","Vertical slice","Migrate representative accounting entry and posting flow","DB-CANON-001; ARCH-004","Balanced posting, edit/delete rollback, idempotency, tax/addon and parity pass","discovered","TBD",""
"RPT-REP-001","5","Vertical slice","Migrate representative report with export and client variant","DB-META-001; DB-PROC-001","Typed result/totals/order/filter/export/performance/golden parity pass","discovered","TBD",""
"PRN-REP-001","5","Vertical slice","Migrate representative invoice print to isolated job model","PLAT-JOB-001; ARCH-006","Concurrent idempotent jobs and golden artifact/delivery/retention pass","discovered","TBD",""
"SEC-WAVE-001","6","Security/setup","Migrate user and all menu/book/company/year/dashboard/action rights","PLAT-RBAC-001; DISC-SYS-001","Every permission has positive/negative UI/API/job/DB evidence","discovered","TBD",""
"SETUP-WAVE-001","6","Security/setup","Migrate company, year, book, parameter, tax, email, GST, and document setup","DB-META-001","All setup flows and side effects pass parity and audit","discovered","TBD",""
"MST-WAVE-001","6","Masters","Migrate remaining generic and special master families","MST-ACCOUNT-001; MST-ADDON-001","100% master controls and client variants satisfy definition of done","discovered","TBD",""
"OPENING-001","6","Masters","Migrate opening balances, prior-year, and year lifecycle behavior","ARCH-007","Balance carry/open/lock and reconciliation pass","discovered","TBD",""
"ENT-INVOICE-001","7","Transactions","Migrate invoice/voucher lifecycle","ENT-REP-001","All states, posting, tax, print, permissions, concurrency, and parity pass","discovered","TBD",""
"ENT-ACCOUNTING-001","7","Transactions","Migrate cash/bank, receipt/payment, journal, discount/allocation, and interest flows","ENT-REP-001","Every flow balances and passes rollback/idempotency/parity","discovered","TBD",""
"ENT-STOCK-001","7","Transactions","Migrate stock voucher/journal, order, challan, transport, and transfer flows","ENT-REP-001","Accounting and stock effects reconcile under concurrency","discovered","TBD",""
"ENT-PROD-001","7","Transactions","Migrate production planning, formula, costing, and manufacturing flows","DISC-META-001","Workflow states, stock/cost/accounting effects and client variants pass","discovered","TBD",""
"ENT-TAX-001","7","Transactions","Migrate e-invoice/e-way bill and tax-side transaction behavior","External integration contracts","Submission/cancel/retry/idempotency/audit and parity pass","discovered","TBD",""
"RPT-ACCOUNTING-001","8","Reports","Migrate accounting statements, registers, ledgers, outstanding, and reconciliation","RPT-REP-001","Golden totals/order/rounding/filter/export pass across tenants/years","discovered","TBD",""
"RPT-INVENTORY-001","8","Reports","Migrate inventory, stock, valuation, ageing, movement, and product reports","ENT-STOCK-001","Golden quantities/values/order/filter/export and performance pass","discovered","TBD",""
"RPT-GST-001","8","Reports","Migrate GST reports/utilities and statutory exports","ENT-TAX-001","Golden statutory outputs and permission/audit tests pass","discovered","TBD",""
"RPT-ANALYSIS-001","8","Reports","Migrate multi-company/year, budget, tax, GP, party/product/sales analysis","RPT-REP-001","Cross-scope authorization and golden analysis pass","discovered","TBD",""
"DASH-001","8","Dashboard","Migrate metadata-driven dashboards and user layout","DB-META-001","Layout/query/drilldown/permission/cache/performance parity passes","discovered","TBD",""
"PRN-WAVE-001","9","Documents","Migrate all active document templates and delivery channels","PRN-REP-001; DISC-PRINT-001","Template registry reconciles; golden outputs and concurrent delivery pass","discovered","TBD",""
"UTIL-BACKUP-001","9","Utilities","Migrate backup, restore, PITR validation, and destructive approvals","ARCH-008","Audited restore drills meet RPO/RTO without client data leakage","discovered","TBD",""
"UTIL-YEAR-001","9","Utilities","Migrate year open, balance transfer, repost, renumber, and lock/unlock jobs","PLAT-JOB-001","Idempotency, approval, rollback, audit, and reconciliation pass","discovered","TBD",""
"INT-EXCEL-001","9","Integrations","Migrate Excel import/export with validation and resumable jobs","PLAT-JOB-001","Contract, malformed-file, duplicate, rollback, and audit tests pass","discovered","TBD",""
"INT-TALLY-001","9","Integrations","Migrate Tally integration","External contract and fixtures","Round-trip mapping, retry, error, audit, and parity pass","discovered","TBD",""
"INT-DELIVERY-001","9","Integrations","Migrate email/message/PDF delivery and product images","ARCH-006","Authorization, malware/content, retry, retention, and delivery tests pass","discovered","TBD",""
"CUST-CLOSE-001","10","Client overrides","Convert every active client branch/query/report/template to versioned overrides","DISC-CUST-001","Registry reconciles; each active override has owner, tests, rollback, and UAT","discovered","TBD",""
"CUST-REMOVE-001","10","Client overrides","Remove hard-coded license/company/database/schema/year logic from common runtime","CUST-CLOSE-001","Static scan and regression suite show zero unexplained client branches","discovered","TBD",""
"QA-UNIT-001","11","Quality","Require domain unit and component validation tests per feature","Vertical slices","Rule and error-branch coverage meets agreed threshold","discovered","TBD",""
"QA-DB-001","11","Quality","Require PostgreSQL migration, constraint, transaction, RLS, and repository tests","PLAT-FIXTURE-001","Disposable database suite is deterministic and cross-tenant safe","discovered","TBD",""
"QA-E2E-001","11","Quality","Automate every control and flow on supported desktop/mobile/keyboard paths","DISC-MENU-001","Control registry has passing E2E evidence or approved exception","discovered","TBD",""
"QA-PARITY-001","11","Quality","Run legacy/new differential tests for all supported tenant/year variants","DISC-LEGACY-001; DISC-DATA-001","Zero unexplained differences; accounting owner signs results","discovered","TBD",""
"QA-PERF-001","11","Quality","Load-test peak concurrent tenants, entries, reports, imports, print, and pools","ARCH-008; DB-WORKLOAD-001","Latency, throughput, error, resource, and fairness budgets pass","discovered","TBD",""
"QA-SEC-001","11","Security","Complete threat model, secret/dependency/code scan, injection, isolation, and privilege review","Platform and feature completion","No critical/high blocker; cross-tenant and direct-action suites pass","discovered","TBD",""
"QA-A11Y-001","11","Quality","Qualify accessibility, keyboard, responsive, and supported browsers","QA-E2E-001","Agreed accessibility standard and interaction matrix pass","discovered","TBD",""
"OPS-DR-001","11","Operations","Prove backup, PITR, restore, failover, and disaster recovery","ARCH-008","RPO/RTO exercises and runbooks are signed","discovered","TBD",""
"OPS-OBS-001","11","Operations","Complete dashboards, alerts, support, capacity, cost, and incident runbooks","PLAT-OBS-001","Operational readiness review passes","discovered","TBD",""
"AI-DATA-001","11","Data foundation","Implement stable contracts, glossary, lineage, classification, quality, and outbox projections","Canonical domains","Governed tenant-scoped data products are available without AI runtime access","designed","TBD",""
"CUT-PILOT-001","12","Cutover","Select and rehearse pilot tenant/company/year","All relevant UAT and operations gates","Repeated migration duration and reconciliation meet go-live criteria","discovered","TBD",""
"CUT-CANARY-001","12","Cutover","Execute pilot freeze, final sync, reconciliation, routing, and monitored canary","CUT-PILOT-001","Signed go/no-go, rollback window, and stabilization acceptance","discovered","TBD",""
"CUT-WAVE-001","12","Cutover","Progressively migrate remaining supported tenants/years","CUT-CANARY-001; CUST-CLOSE-001","Every wave is reconciled, monitored, accepted, and recoverable","discovered","TBD",""
"RETIRE-001","12","Retirement","Make legacy read-only, archive evidence, revoke access, and decommission","CUT-WAVE-001; retention approval","Retention, audit, export, credential revocation, and decommission signoff complete","discovered","TBD",""
